Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
,"Dijual Tanah Area Prospektif Kawasan Senen, Luas 4241m², Dekat Senen, Jakarta Pusat, Jakarta Pusat",Rp159 Miliar Total,"Harga per m² Rp.37,4 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah di Tanah Abang, Luas 212m², Akses Jalan Raya","Rp9,54 Miliar Total",Harga per m² Rp.45 Juta,LT212 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Tanah Lokasi Strategis di , Luas 3593m2m², Lingkungan Asri, Dekat Jakarta Pusat, Jakarta Pusat",Rp144 Miliar Total,Harga per m² Rp.40 Juta,LT3593 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Tanah Bisnis Kawasan Menteng, Luas 321m², Akses Mudah",Rp26 Miliar Total,"Harga per m² Rp.81, Juta",LT321 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah di Cempaka Putih, Luas 250m², Kawasan Bisnis","Rp3,7 Miliar Total",lebih hemat,LT250 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"Jual Tanah Lokasi Prima Kawasan Tanah Abang, Luas 598m², Akses Tanah Abang, Jakarta Pusat, Jakarta Pusat",Rp24 Miliar Total,lebih hemat,LT598 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"HARGA TERBAIK! Tanah Kawasan Senen, Luas 4241m², Dekat Jalan Raya, Area Berkembang",Rp159 Miliar Total,"Harga per m² Rp.37,5 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"HARGA MENARIK! Tanah di Gajah Mada, Luas 90m², Lingkungan Nyaman, Bebas Banjir","Rp1,6 Miliar Total","Harga per m² Rp.17,7 Juta",LT90 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Jual Tanah Lokasi Prima di Senen, Luas 4241m², Akses Senen, Jakarta Pusat, Jakarta Pusat",Rp159 Miliar Total,"Harga per m² Rp.37,4 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"LOKASI STRATEGIS! Tanah di Cempaka Putih, Luas 300m², Lokasi Potensial, Cocok untuk Hunian","Rp20,7 Miliar Total","Harga per m² Rp.6,9 Miliar",LT300 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
